Country,Year,Food Types,Total Waste in Tons,Food Economic Loss (Million $),Avg Waste per Capita (Kg),Country Population (Million) (Not Accurate),Household Waste (%)
Indonesia,2023,Prepared Food,49816.86,41239.85,134.88,1382.02,67.85
Turkey,2024,Prepared Food,11404.52,11204.75,75.84,326.42,34.57
Canada,2021,Grains & Cereals,46798.57,37623.18,131.37,1307.11,41.68
Mexico,2021,Prepared Food,20641.74,21083.59,75.79,1293.17,61.35
South Africa,2018,Dairy Products,47627.36,42337.22,92.55,131.9,61.23
South Africa,2021,Grains & Cereals,47689.02,56242.94,167.89,427.78,48.17
South Korea,2023,Prepared Food,1498.6,1441.45,179.65,79.16,62.74
Argentina,2018,Prepared Food,1658.5,1792.44,38.86,561.39,49.43
Saudi Arabia,2020,Meat & Seafood,28148,30663.05,167.89,961.56,69.39
France,2024,Fruits & Vegetables,24659.88,23758.67,62.68,1397.01,59.92
Spain,2021,Bakery Items,4299.29,3674.24,29.92,1201.14,38.42
Canada,2019,Fruits & Vegetables,17578.48,17978.29,92.23,492.46,51.28
Indonesia,2022,Fruits & Vegetables,19354.4,20751.86,64.75,1049.56,35.73
South Africa,2021,Grains & Cereals,30790.19,29014.13,152.14,1212.42,48.75
France,2023,Bakery Items,13901.18,11299.59,64.06,21.9,66.77
Japan,2020,Bakery Items,11071.57,12338.73,142.21,52.39,43.07
Italy,2024,Beverages,7032.21,8297.39,196.12,603.96,57.14
Italy,2024,Fruits & Vegetables,8065.54,9121.86,33.12,292.34,65.14
Indonesia,2022,Frozen Food,43637.05,38890.96,79.13,524.46,66.53
UK,2020,Frozen Food,41058.24,38421.44,63.99,293.55,69.29
India,2018,Grains & Cereals,22078.21,20545.65,120.17,835.93,66.34
Russia,2023,Fruits & Vegetables,28458.05,32053.14,111.9,1023.31,43.09
Saudi Arabia,2019,Grains & Cereals,41000.87,47408.27,61.27,792.47,35.96
Japan,2024,Prepared Food,7236.25,5985.85,112.63,41.66,37.49
South Africa,2019,Bakery Items,19679.23,23414.64,152.57,771.08,68.32
Saudi Arabia,2024,Fruits & Vegetables,35483.41,33462.87,188.4,802.52,31.58
South Africa,2024,Bakery Items,34795.8,36643.27,90.7,922.21,67.29
Mexico,2021,Fruits & Vegetables,41413.4,46444.54,192.43,25.16,34.47
South Korea,2018,Bakery Items,29213.9,30961.95,118.87,26.11,32.13
Australia,2023,Fruits & Vegetables,13010.89,13474.49,187.25,466.68,53.45
Australia,2021,Grains & Cereals,4140.11,3741.73,170.14,1050.12,34.98
South Korea,2024,Dairy Products,17681.37,18549.68,141.22,402.52,46.95
France,2022,Fruits & Vegetables,46668.91,47669.01,109.29,647,51.51
USA,2022,Frozen Food,35232.72,40282.97,103.69,682.19,43.94
China,2023,Meat & Seafood,32497.32,33166.68,155.52,99.24,44.86
China,2020,Meat & Seafood,40408.04,46888.38,189.14,654.22,37.2
Russia,2023,Meat & Seafood,22245.81,24544.51,153.27,1030.64,32.55
Spain,2022,Dairy Products,34661.41,41175.81,199.19,729.14,54.28
Turkey,2023,Beverages,4747.33,5287.71,117.05,264.62,59.6
India,2021,Beverages,34123.97,35563.1,124.01,545.6,56.69
USA,2021,Dairy Products,26651.27,22800.42,195.03,1370.22,68.1
Argentina,2018,Grains & Cereals,35830.12,33509.64,125.51,442.34,52.97
Italy,2020,Frozen Food,43604.76,41061.79,118.91,221.35,57.77
Spain,2019,Beverages,28426.63,25882.46,167.06,171.49,54.46
Italy,2022,Dairy Products,23421.47,24931.67,158.37,560.84,66.88
Japan,2023,Meat & Seafood,27099.72,28239.68,155.83,20.78,40.5
Saudi Arabia,2024,Bakery Items,39581.84,41930.82,104.09,342.77,36.49
Brazil,2018,Fruits & Vegetables,26144.5,22131.69,171.23,644.98,57.72
Brazil,2019,Grains & Cereals,17126.74,17098.43,40.51,1331.19,61.84
USA,2023,Frozen Food,41112.98,38944.29,125.91,1118.7,48.87
Australia,2023,Fruits & Vegetables,34771.88,39746.31,108.15,531.36,53.2
Germany,2020,Beverages,30532.53,35225.48,101.96,1397.4,47.98
Brazil,2018,Bakery Items,33302.91,34775.16,96.53,319.81,55.9
Saudi Arabia,2023,Grains & Cereals,44376.96,38365.99,126.78,1395.67,33.04
UK,2019,Bakery Items,19157.25,22447.11,26.79,732.64,48.87
Turkey,2020,Meat & Seafood,19420.74,18180.97,164.89,553.1,67.48
Japan,2024,Prepared Food,26996.77,22247.24,141.2,195.3,63.68
Brazil,2021,Frozen Food,23230.45,24063.57,103.26,13.57,43.33
China,2022,Bakery Items,11941.14,10013.69,157.15,1387.28,45.86
Saudi Arabia,2021,Meat & Seafood,36620.6,33044.67,51.01,50.26,37.92
Russia,2020,Prepared Food,39904.73,42100.71,185.89,137.46,61.12
Italy,2021,Frozen Food,18677.97,18778.26,67.16,1317.71,30.24
Canada,2020,Fruits & Vegetables,27775.14,27873.1,167.13,1285.73,47.56
Argentina,2023,Frozen Food,39575.31,33679.46,156.9,820.08,58.06
South Korea,2024,Frozen Food,44477.01,51554.51,135.69,634.67,47.85
Turkey,2021,Beverages,45531.69,53905.44,168.79,408.45,41.96
Russia,2024,Prepared Food,19136.57,15632.33,36.34,726.02,60.73
UK,2019,Beverages,39366.23,31790.73,162.82,910.67,35.24
Argentina,2019,Fruits & Vegetables,42224.31,48288.33,29.15,989.16,32.17
France,2018,Beverages,11747.58,11927.44,31.53,429.29,34.67
Brazil,2022,Prepared Food,32541.66,31769.86,181.61,958.99,66.05
Saudi Arabia,2024,Dairy Products,10346.33,8873.46,178.04,174.47,46.91
Mexico,2024,Fruits & Vegetables,11663.37,9373.54,27.2,1132.72,47.42
China,2019,Prepared Food,36775.28,42989.16,35.16,766.59,55.84
Russia,2023,Grains & Cereals,47754.5,43538.98,84.26,724.99,57.5
Spain,2019,Prepared Food,49597.08,51503.85,53.87,1203.63,38.63
South Korea,2019,Prepared Food,9854.36,9751.73,121.65,1333.26,34.66
South Africa,2021,Frozen Food,32026.66,37170.93,66.35,1253.91,51.57
Saudi Arabia,2019,Dairy Products,42268.39,47258.56,22.83,1347.24,41.61
Japan,2018,Prepared Food,4432.12,4843.85,48.24,979.69,60.76
Mexico,2024,Dairy Products,46335.1,44293.66,68.29,878.73,66.64
Australia,2023,Fruits & Vegetables,32008.19,37944.81,96.91,293.21,40.81
UK,2020,Grains & Cereals,12158.17,12654.12,88.35,854.64,69.76
South Korea,2023,Beverages,26692.28,27029.96,35.13,830.67,55.57
Brazil,2020,Dairy Products,25611.51,27250.82,194.94,975.85,32.75
Saudi Arabia,2024,Beverages,38673.18,34473.09,190.61,803.85,44.24
Japan,2022,Grains & Cereals,38902.24,41321.62,183.52,155.41,54.63
Spain,2024,Dairy Products,21328.53,21673.87,56.09,365.74,50.62
USA,2024,Bakery Items,37219.35,38057.65,186.06,904.55,62.48
Spain,2018,Dairy Products,36730.78,31317.17,102.27,1099.95,60.06
South Korea,2023,Beverages,12317.88,10632.5,186.06,993.41,42.45
Brazil,2020,Bakery Items,34788.43,36710.86,175.07,1259.71,58.47
Brazil,2019,Beverages,38637.82,37387.45,28.74,797.19,44.99
France,2018,Prepared Food,23315.36,25409.49,151.47,1158.29,42.5
Turkey,2021,Fruits & Vegetables,42720.3,43857.89,180.31,33.87,59.54
Brazil,2023,Fruits & Vegetables,19516.89,16728.23,118.66,299.23,30.85
Australia,2019,Beverages,36675.14,33795.37,69.14,190.32,40.55
France,2018,Bakery Items,33455.5,35751.36,111.54,767.8,59.41
Brazil,2024,Grains & Cereals,39730.33,32152.11,99.6,1232.91,54.37
Brazil,2023,Frozen Food,28256.65,26235.52,76.73,294.5,54.39
Japan,2018,Meat & Seafood,10569.89,9254.97,82.36,1311.01,35.38
Spain,2020,Prepared Food,7673.38,6152.46,144.15,537.14,48.93
South Korea,2021,Prepared Food,8921.72,8813.68,99.65,1088.04,40.87
Germany,2018,Beverages,49821.95,47175.67,44.62,903.11,36.71
Italy,2024,Fruits & Vegetables,40628.72,32673.05,122.42,982.85,31
Canada,2021,Fruits & Vegetables,33384.17,30304.24,58.8,1246.14,37.41
Indonesia,2023,Bakery Items,32291.89,28109.53,128.13,647.42,40.17
China,2018,Grains & Cereals,30411.47,25760.76,94.73,548.01,64.44
Turkey,2022,Meat & Seafood,45621.2,44279.58,31.47,766.29,68.54
South Africa,2023,Grains & Cereals,18519.25,19892.46,69.69,800.92,56.28
UK,2020,Meat & Seafood,9274.18,9013.05,192.6,1071.64,55.93
Saudi Arabia,2020,Frozen Food,26717.58,26423.71,32.15,946.48,50.07
Italy,2024,Fruits & Vegetables,11568.58,13468.51,137.79,417.49,37.65
Russia,2020,Meat & Seafood,35478.35,32831.46,93.19,792.91,48.74
Australia,2024,Beverages,47042.59,46315.24,170.85,273.42,56.22
Canada,2024,Dairy Products,28578.74,30720.54,21.53,1288.55,43.81
France,2020,Dairy Products,34539.59,38087.67,147.33,426.08,56.98
Italy,2024,Dairy Products,33143.48,27390.55,198.88,1229.88,64.08
Russia,2024,Meat & Seafood,3571.28,4051.43,197.55,220.99,56.09
Canada,2023,Grains & Cereals,23410.02,20912.79,58.78,1350.89,58.11
Germany,2023,Dairy Products,32805.49,27652.9,187.31,858.85,48.83
Australia,2019,Dairy Products,35160.21,41400.4,99.21,27.53,52.34
Argentina,2022,Frozen Food,8594.59,9752.72,77.76,718.5,68.44
Russia,2024,Dairy Products,22720.68,21947.26,79.97,858.05,66.92
Italy,2023,Prepared Food,45865.38,47164.59,42.96,194.31,49.63
South Korea,2018,Prepared Food,31016.42,28710.72,185.7,1146.89,33.34
Brazil,2024,Meat & Seafood,16537.53,18897.13,168.59,866.61,63.31
Turkey,2023,Prepared Food,36370.28,42376.5,42.69,513.06,56.74
Canada,2023,Fruits & Vegetables,3328.11,3896.18,103.8,1341.94,57.66
Australia,2021,Grains & Cereals,35841.16,37334.99,36.86,88.82,56.74
UK,2018,Prepared Food,34932.96,31002.47,24.41,234.78,69.99
Argentina,2019,Prepared Food,6210.96,5625.31,183.28,1389.04,53.08
South Korea,2021,Fruits & Vegetables,16554.33,18394.01,180.81,1319.03,48.21
Spain,2018,Bakery Items,17206.7,14672.27,55.56,977.52,56.68
Brazil,2023,Dairy Products,41514.19,37913.97,58.18,1182.06,63.16
France,2020,Meat & Seafood,44973.35,37316.07,195.23,907.78,37.36
Russia,2023,Bakery Items,44961.18,40280.46,56.72,593.33,67.19
Italy,2020,Prepared Food,22334.46,23183.3,104.23,488.53,41.58
USA,2020,Dairy Products,20517.26,22108.48,71.66,855.36,50.97
Japan,2019,Prepared Food,49948.23,50637.51,108.11,1220.46,63.44
Indonesia,2019,Fruits & Vegetables,20319.53,16766.94,44.42,240.36,53.99
Germany,2022,Prepared Food,5379.46,6107.14,48.99,1088.12,45.81
India,2018,Beverages,41579.75,41344.17,75.88,1067.55,53.86
South Korea,2018,Beverages,30244.66,35752.15,93.55,797.24,31.95
Australia,2021,Grains & Cereals,38968.29,31654.11,99.24,846.81,50.96
Indonesia,2022,Meat & Seafood,47785.73,54367.08,193.43,46.42,67.79
Italy,2024,Bakery Items,17376.06,17601.38,91.5,1323.92,36.82
South Korea,2022,Frozen Food,44157.47,43402.56,35.06,235.52,43.08
Argentina,2022,Grains & Cereals,23398.53,21432.11,150.91,780.7,60.33
Italy,2023,Prepared Food,33813.66,37518.62,183.18,283.27,41.38
Argentina,2020,Meat & Seafood,19641.05,21899.7,83.58,1268.36,52.37
China,2021,Prepared Food,28554.51,28238.46,191.61,676.67,59.64
Turkey,2022,Grains & Cereals,29640.04,24538.41,52.38,1038.17,44.37
UK,2021,Fruits & Vegetables,14631.16,17408.17,62.08,1307.64,59.13
Canada,2018,Meat & Seafood,44803.95,36580.07,195.86,264.95,36.37
Saudi Arabia,2022,Meat & Seafood,5153.47,5204.55,111.25,1055.8,36.23
Saudi Arabia,2019,Prepared Food,15340.42,13304.64,126.03,945.44,62.32
USA,2018,Grains & Cereals,43798.26,37179.4,197.41,646.19,59.68
Australia,2018,Beverages,15809.24,16731.04,129.64,91.23,62.5
UK,2018,Prepared Food,28645.81,24791.78,57.39,1319.39,45.58
Italy,2021,Beverages,17498.67,15495.46,62.41,977.68,42.9
UK,2024,Grains & Cereals,5527.56,6587.05,33.26,1194.06,62.01
Germany,2018,Prepared Food,36308.58,35569.19,42.28,1368.21,50.52
France,2018,Beverages,20555.66,20002.41,86.77,446.58,38.01
Italy,2020,Beverages,25833.45,23028.03,55.29,1048.51,38.07
Indonesia,2019,Frozen Food,37879.97,37428.1,189.28,1323.33,66.67
Mexico,2023,Frozen Food,32919.76,39313.15,124.41,379.92,51.61
China,2024,Prepared Food,30618.56,34281.61,21.66,1015.92,43.26
Russia,2023,Grains & Cereals,9845.39,9764.39,59.4,876.16,45.66
India,2018,Dairy Products,579.36,644.62,191.73,277.1,52.46
Indonesia,2024,Fruits & Vegetables,32844.67,35654.28,114.02,762.99,64.8
Spain,2021,Dairy Products,30246.08,33555.87,102.26,302.73,51.56
Brazil,2021,Meat & Seafood,33939.22,34884.77,62.46,685.49,49.45
USA,2018,Bakery Items,25862.02,24104.65,67.58,776.7,68.11
Mexico,2021,Grains & Cereals,47836.63,38345.09,22.78,974.06,57.51
South Korea,2020,Fruits & Vegetables,3657.3,3674.47,25.04,697.88,47.84
Italy,2019,Dairy Products,10879.19,11396.98,127.31,982.16,36.56
Indonesia,2023,Fruits & Vegetables,1518.82,1441.51,53.56,430.12,49.45
Indonesia,2020,Beverages,35577.48,38585.41,119.54,426.7,48.79
Spain,2020,Prepared Food,8675.35,9670.83,176.75,1253.35,49.82
South Africa,2024,Bakery Items,40131.85,40786.47,78.6,1385.86,58.46
Canada,2023,Prepared Food,15799.66,15339,87.49,887.33,35.11
Japan,2018,Bakery Items,40615.14,36728.65,148.9,1045.22,65.5
South Africa,2018,Bakery Items,33554.89,30227.41,125.82,1002.74,58.34
Italy,2021,Prepared Food,39581.08,35472.8,156.62,179.98,63.87
Brazil,2020,Frozen Food,24163.81,21675.81,136.39,708.31,31.34
South Africa,2023,Grains & Cereals,20766.05,22909.68,33.99,973.73,39.52
South Africa,2023,Grains & Cereals,22756.14,19733.92,140.48,965.39,35.42
Australia,2019,Meat & Seafood,2499.5,2890.07,69.73,1074.39,35.76
Germany,2018,Bakery Items,28693.27,26756.34,149.88,474.98,64.95
Italy,2022,Meat & Seafood,12120.39,12122.38,77.39,133.38,34.16
Australia,2018,Prepared Food,35063.05,29702.46,59.62,821.63,67.42
Spain,2020,Prepared Food,17577.02,16452.17,99.44,1205.53,65.65
France,2021,Dairy Products,42883.75,43639.17,181.74,1361.01,57.51
Germany,2022,Grains & Cereals,32734.18,37934.01,30.94,349.5,43.62
Brazil,2019,Fruits & Vegetables,23935.92,24758.66,198.73,1224.73,61.4
Argentina,2021,Fruits & Vegetables,30419.82,29457.65,115.84,983.7,60.26
Russia,2018,Bakery Items,15651.93,14003.78,62.88,863.8,54.83
UK,2023,Grains & Cereals,5717.85,5416.86,83.75,1334.57,69.95
Australia,2024,Frozen Food,26748.08,27086.57,67.2,598.69,46.57
Argentina,2019,Dairy Products,11932.47,12003.72,179.56,233,58.95
South Korea,2023,Beverages,37904.41,42959,161.82,157.75,68.93
Indonesia,2023,Grains & Cereals,33312.33,35144.44,96.49,1035.22,40.92
South Korea,2020,Grains & Cereals,15712.78,14495.91,135.3,772.57,68.52
China,2021,Meat & Seafood,3248.71,3508.32,55.08,332.62,35.58
Germany,2023,Prepared Food,35051.75,30279.11,117.21,37.35,34.26
Japan,2021,Beverages,40111.61,40023.93,55.51,1151.53,54.44
South Korea,2021,Fruits & Vegetables,3295.94,3663.62,42.29,805.51,59.38
South Africa,2019,Grains & Cereals,12943.62,14989.25,41.38,646.84,33.95
India,2018,Bakery Items,44914.72,39769.92,44.32,816.14,50.04
South Africa,2024,Grains & Cereals,1107.72,1306.42,120.16,282.2,54.34
China,2021,Fruits & Vegetables,17158.57,16538.81,131.46,1049.23,53.57
Turkey,2020,Grains & Cereals,7644.8,6541.69,96.79,304.37,53.16
Spain,2018,Grains & Cereals,49939.3,56589.53,166.63,1325.57,60.61
India,2024,Meat & Seafood,49234.79,57327.57,150.79,90.32,62.46
Turkey,2020,Beverages,34646.82,38811.94,56.26,1078.14,64.74
Turkey,2020,Frozen Food,3120.26,2798.83,141.9,682.44,31.97
South Africa,2021,Fruits & Vegetables,8621.34,9973.89,176.26,566.1,40.89
UK,2019,Grains & Cereals,35390.44,30453.31,25.72,1103.18,64.5
Spain,2023,Bakery Items,3663.49,4005.62,179.17,799.08,61.17
Spain,2022,Fruits & Vegetables,43162.29,46159.5,119.68,650.34,66.47
Canada,2019,Grains & Cereals,45279.09,46202.71,112.32,1045.86,68.46
Mexico,2018,Fruits & Vegetables,19392.75,19073.59,177.2,1360.57,48.16
Germany,2019,Prepared Food,29113.69,32478.81,49.46,1158.83,44.01
Japan,2021,Grains & Cereals,17636.51,19452.05,179.42,480.43,41.32
China,2024,Grains & Cereals,8868.1,9640.64,107.74,668.52,54.3
Saudi Arabia,2021,Frozen Food,46198.11,52242.67,143.51,281.03,36.71
Turkey,2018,Beverages,48402.2,51344.81,118.82,321,66.59
India,2019,Meat & Seafood,12301.35,12598.08,161.37,1068.31,41.15
Australia,2022,Beverages,4103.34,3481.24,162.15,724.16,40.73
Saudi Arabia,2024,Frozen Food,33168.18,39427.5,160.48,749.4,45.93
China,2021,Prepared Food,10357.84,11322.82,72.71,1229.44,52.83
USA,2024,Bakery Items,14150.56,13191.58,188.36,1066.05,64.5
India,2021,Grains & Cereals,12408.78,12422.19,124.37,759.94,49.25
China,2020,Dairy Products,12168.64,10111.49,143.16,1011.83,47.83
Australia,2022,Grains & Cereals,23468.74,26836.79,74.17,1235.34,42.45
South Africa,2021,Grains & Cereals,8379.7,8101.9,158.53,1318.22,40.38
Mexico,2021,Meat & Seafood,42429.8,43314.09,94.42,540.22,55.02
Germany,2018,Fruits & Vegetables,22888.43,19728.19,198.41,286.95,64.2
Japan,2021,Grains & Cereals,37536.14,35411.5,59.89,91.59,51.99
Argentina,2024,Prepared Food,33975.04,38624.05,165.13,124.39,32.92
South Korea,2020,Dairy Products,13374.2,13501.38,73.73,727.93,40.54
France,2019,Dairy Products,47200.95,46392.34,21.83,672.59,57.48
Spain,2022,Prepared Food,27453.18,32326.41,59.33,635.64,68.7
Japan,2024,Bakery Items,35661.32,31712.14,168.58,1097.42,33.92
Italy,2018,Beverages,15419.38,16642.94,150.3,131.97,41.76
Brazil,2018,Frozen Food,48423.87,55225.94,38.88,473.42,40.68
China,2023,Beverages,23310.77,27804.91,111.3,1075.49,49.71
South Africa,2021,Fruits & Vegetables,22799.99,21344.78,62.3,67.29,64.18
South Korea,2022,Frozen Food,34892.77,30087.1,163.47,167.87,56.14
Turkey,2023,Beverages,26154.24,23605.36,97.74,952.86,61.6
India,2018,Prepared Food,24709.69,21907.12,175.85,233.03,30.37
Saudi Arabia,2024,Fruits & Vegetables,33000.57,27199.3,47.58,967.79,63.97
Australia,2021,Frozen Food,32609.41,34514.42,49.93,579.9,62.41
USA,2024,Bakery Items,28585.83,31170.26,82.82,560.49,38.67
Argentina,2023,Grains & Cereals,25283.83,27769.57,164.1,174.2,47.45
Australia,2023,Prepared Food,15560.43,17229.01,33.94,135.85,61.85
Australia,2020,Meat & Seafood,26050.19,30058.53,100.1,334.72,55.52
South Africa,2022,Frozen Food,6241.82,6550.61,151.63,155.33,63.15
UK,2022,Prepared Food,14507.24,15751.93,103.51,814.7,52.6
USA,2020,Fruits & Vegetables,49940.84,58118.91,68.65,1374.62,31.97
Brazil,2018,Meat & Seafood,42940.75,35290.62,61.88,173.96,64.02
Saudi Arabia,2024,Prepared Food,27017.13,29962.85,128.51,444.85,55.7
Argentina,2019,Prepared Food,45454.42,46874.21,49.67,945.86,37.33
Germany,2024,Meat & Seafood,10328.38,9680.69,113.97,113.64,50.43
India,2019,Grains & Cereals,2767.92,2468.91,38.77,97.52,36.79
South Korea,2022,Fruits & Vegetables,37034.74,31161.26,111.83,152.33,68.43
Mexico,2018,Prepared Food,44970.63,42041.63,86.21,456.5,37.16
Japan,2020,Beverages,45853.83,40973.98,150.07,52.02,68.23
Brazil,2019,Dairy Products,25297.9,23278.03,30.4,1296.09,62.53
South Korea,2023,Meat & Seafood,1381.98,1215.77,183.86,1064.29,41.61
Australia,2021,Beverages,2967.07,2889.8,144.41,109.74,44.07
Japan,2023,Bakery Items,31658.12,25907.78,182.21,466.22,69.25
Australia,2021,Beverages,18521,19976.55,176.33,77.97,61.55
Mexico,2018,Frozen Food,44856.7,39973.44,83.43,689.41,38.02
Spain,2022,Bakery Items,12957.08,13583.24,26.58,1015.98,50.05
India,2021,Dairy Products,10419.01,10759.03,57.4,477.07,30.82
India,2023,Bakery Items,32311.01,26850.99,22.03,245.47,52.84
Brazil,2018,Beverages,17951.7,14804.88,143.61,1236.3,31.74
Turkey,2022,Beverages,39228.94,42712.73,164.94,1094.14,44.58
Australia,2019,Fruits & Vegetables,15842.1,17709.71,101.11,1128.15,36.17
USA,2020,Meat & Seafood,40534.99,47743.89,30.1,480.95,60.82
China,2024,Frozen Food,36041.71,41442.24,172.55,309.4,58.45
Italy,2024,Meat & Seafood,34178.23,27478.34,105.28,993.67,33.85
Australia,2020,Fruits & Vegetables,3721.72,3310.86,76.37,830.16,51.86
USA,2023,Dairy Products,44920.38,36015.96,58.26,320.81,32.69
USA,2018,Grains & Cereals,42505.33,35453.57,48.91,228.91,30.58
USA,2021,Bakery Items,33519.63,36564.9,108.5,55.54,61.65
Turkey,2024,Prepared Food,34201.89,39119.8,24.43,888.89,31.99
Australia,2019,Meat & Seafood,31221.57,32289.6,23.32,1300.91,45.63
Turkey,2018,Frozen Food,30291.51,35776.6,113.2,1209.88,65.16
Mexico,2018,Grains & Cereals,11796.42,13723.48,52.99,1266.37,53.95
France,2020,Beverages,27579.78,32251.29,131.23,1034.96,42.38
Canada,2020,Grains & Cereals,19800.42,22212.63,50.24,41.4,52.11
India,2019,Frozen Food,42079.37,44757.73,102.14,208.11,58.53
India,2020,Dairy Products,15487.71,16640.68,182.23,364.41,48.35
Japan,2019,Prepared Food,1838.52,2179.56,87.52,380.11,62.3
Indonesia,2023,Bakery Items,1712.49,2031.46,101.2,878.61,54.97
Turkey,2023,Beverages,47671.19,44285.41,34.27,333.53,38.82
France,2024,Beverages,7967.52,9053.55,78.26,1089.85,55.08
China,2023,Grains & Cereals,41850.06,43474.2,66.45,216.97,42.47
South Korea,2022,Dairy Products,19720.77,22541.93,161.86,327.56,35.11
Canada,2022,Dairy Products,31653.3,35258.38,136.29,98.77,47.28
Australia,2024,Prepared Food,37434.92,42099.74,41.77,620.77,36.97
Germany,2020,Fruits & Vegetables,15888.42,15135.89,162.68,786.51,63.98
UK,2020,Frozen Food,19198.98,19713.53,78.71,1313.9,39.63
USA,2019,Prepared Food,31339.63,25846.28,92.33,934.34,36.93
South Africa,2024,Meat & Seafood,13361.44,12970.16,27.01,609.6,31.72
Brazil,2020,Meat & Seafood,26268.6,29249.71,23.25,1047.37,50.7
Spain,2021,Bakery Items,19136.84,19596.66,99.03,926.63,52.93
China,2023,Bakery Items,842.5,947.94,123.55,1097,33.03
Italy,2018,Beverages,14796.26,15199.69,51.6,335.12,38.73
UK,2024,Dairy Products,38171.54,38081.43,140.05,340.75,41.56
Japan,2018,Meat & Seafood,35651.41,42058.68,107.05,1138.12,34.37
Turkey,2021,Fruits & Vegetables,8387.38,7124.6,48.27,416.51,57.22
Italy,2024,Frozen Food,43166.14,42762.22,90.23,721.96,45.47
Australia,2020,Dairy Products,25602.25,22353.88,118.49,749.89,63.9
Mexico,2022,Frozen Food,40757.12,39501.14,123.04,668.61,62.18
Germany,2023,Dairy Products,12295.52,12498.26,158.68,1210.98,69.08
Mexico,2024,Grains & Cereals,32745.8,29929.73,113.34,222.23,38.08
Turkey,2024,Meat & Seafood,45030.47,41196.59,92.94,1119.04,56.87
Japan,2022,Fruits & Vegetables,16373.89,14440.85,118.1,1242.49,32.01
Japan,2021,Prepared Food,9209.33,10673.4,130.27,493.96,59.59
Italy,2023,Grains & Cereals,49737.09,57141.36,48.65,291.33,63.28
UK,2024,Prepared Food,44233.62,48960.11,41.35,454.89,54.46
Turkey,2022,Bakery Items,6263.58,7038.29,183.38,1030.14,68.59
Turkey,2022,Prepared Food,46070.81,46684.82,58.47,674.67,42.72
Italy,2019,Meat & Seafood,4238.69,4890.25,165.2,239.82,57.1
